null_type,realization,rho_per_T,p_per_T,rho_per_gal,p_per_gal,n_shellbearing,n_total,frac_T2,n_T2,frac_T3,n_T3,frac_T4,n_T4,frac_T5,n_T5,frac_T6,n_T6,frac_T7,n_T7,frac_T8,n_T8,frac_T9,n_T9
scramble,0,-0.4047619047619048,0.3198886412288164,-0.23714913769247184,0.01639900397852212,33,102,0.8888888888888888,9,0.2727272727272727,11,0.29411764705882354,17,0.3076923076923077,13,0.3125,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
scramble,1,-0.19047619047619052,0.6514014957024813,-0.09611802905534689,0.3365482133613303,31,102,0.7777777777777778,9,0.0,11,0.29411764705882354,17,0.23076923076923078,13,0.4375,16,0.21428571428571427,14,0.6666666666666666,6,0.125,16
scramble,2,0.023809523809523815,0.9553740118158806,-0.09755825377586785,0.32932412959454754,28,102,0.7777777777777778,9,0.09090909090909091,11,0.29411764705882354,17,0.15384615384615385,13,0.125,16,0.35714285714285715,14,0.3333333333333333,6,0.25,16
scramble,3,-0.05988131309566295,0.8879906501125184,-0.09485965507698874,0.34294167715780416,33,102,0.7777777777777778,9,0.09090909090909091,11,0.29411764705882354,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.3333333333333333,6,0.3125,16
scramble,4,-0.5389318178609664,0.16811803527951483,-0.24127371003298942,0.01456901759277646,30,102,0.7777777777777778,9,0.2727272727272727,11,0.29411764705882354,17,0.38461538461538464,13,0.1875,16,0.14285714285714285,14,0.3333333333333333,6,0.1875,16
scramble,5,-0.1666666666666667,0.6932388117283949,-0.16343158034344696,0.10073708177330497,30,102,0.7777777777777778,9,0.09090909090909091,11,0.29411764705882354,17,0.3076923076923077,13,0.3125,16,0.21428571428571427,14,0.5,6,0.125,16
scramble,6,-0.14285714285714288,0.7357648598798119,-0.10348326008398771,0.30065452477898086,33,102,0.7777777777777778,9,0.0,11,0.35294117647058826,17,0.38461538461538464,13,0.375,16,0.14285714285714285,14,0.5,6,0.25,16
scramble,7,0.023809523809523815,0.9553740118158806,-0.11556486159169432,0.24741809982875812,32,102,0.7777777777777778,9,0.18181818181818182,11,0.23529411764705882,17,0.3076923076923077,13,0.3125,16,0.2857142857142857,14,0.3333333333333333,6,0.25,16
scramble,8,-0.15569141404872364,0.7127617079991629,-0.16292114682674538,0.10181973691396155,39,102,0.8888888888888888,9,0.18181818181818182,11,0.4117647058823529,17,0.46153846153846156,13,0.3125,16,0.21428571428571427,14,0.5,6,0.3125,16
scramble,9,-0.28571428571428575,0.49272624501695705,-0.1126666832445672,0.25955312788020124,32,102,0.7777777777777778,9,0.0,11,0.29411764705882354,17,0.5384615384615384,13,0.1875,16,0.35714285714285715,14,0.16666666666666666,6,0.25,16
scramble,10,-0.28571428571428575,0.49272624501695705,-0.23795342961969135,0.016027304370777193,30,102,0.8888888888888888,9,0.18181818181818182,11,0.29411764705882354,17,0.3076923076923077,13,0.25,16,0.14285714285714285,14,0.3333333333333333,6,0.1875,16
scramble,11,-0.30952380952380953,0.4556448907375821,-0.10772465340922463,0.2811691491741792,30,102,0.6666666666666666,9,0.09090909090909091,11,0.35294117647058826,17,0.23076923076923078,13,0.3125,16,0.2857142857142857,14,0.16666666666666666,6,0.25,16
